backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
1',2',0,1,1,1,1,1,0,0,NULL,NULL,wilting;necrosis',inconsistent',<50',<90',NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:01:39'
1',3',0,NULL,NULL,0,0,NULL,0,0,NULL,NULL,N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:02:34'
1',4',0,1,0,1,0,2,0,0,NULL,NULL,wilting; necrosis',NULL,<50',NULL,thripe damage',NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:04:16'
1',5',1,0,1,1,1,1,0,0,NULL,shelf 1 1 bar',NULL,inconsistent',<50',77',NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:05:05'
1',6',0,1,0,1,0,1,0,0,NULL,NULL,plants havensnglquotet take; see rack',NULL,<50',NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:06:43'
1',8',1,0,0,0,0,1,0,0,NULL,shelf 2 1 bar out',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:07:16'
1',7',0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:07:57'
1',9',1,1,1,1,1,2,1,0,NULL,1 bar shelf 4',necrosis/nutritional',inconsistent',<50',77',thripe damage; thripes',off',NULL,NULL,d.p.',Monday',2018-07-16 09:09:02'
1',10',0,1,0,0,0,2,1,0,NULL,NULL,nutritional; wilting',NULL,NULL,NULL,thripe damage',off',NULL,NULL,d.p.',Monday',2018-07-16 09:09:54'
1',11',1,1,0,0,1,2,1,0,NULL,shelf 1 1 bar',wilting',NULL,NULL,85',thripe damage; afids',off',NULL,NULL,d.p.',Monday',2018-07-16 09:10:53'
